Gender,Income,DaysWithoutFrequency,LifetimeValue,UseByTime,WaterActivities,FitnessActivities,TeamActivities,RacketActivities,CombatActivities,SpecialActivities,NumberOfFrequencies,AttendedClasses,NumberOfReferences,Dropout,EnrolledTime,DaysSinceLastVisit,LazinessIndex
0,5500.0,1,89.35,0,0.0,1.0,0.0,0.0,0.0,0.0,9.0,7,0,0,58,1,0.6815286624203822
0,2630.0,60,479.2,0,0.0,0.0,0.0,0.0,0.0,1.0,23.0,1,0,1,398,1568,0.9425947187141217
1,1980.0,7,37.6,0,0.0,1.0,0.0,0.0,0.0,0.0,6.0,0,0,1,30,889,0.8001998001998002
1,0.0,22,155.4,0,0.0,0.0,1.0,0.0,0.0,0.0,20.0,2,0,1,160,283,0.8306997742663657
1,4320.0,210,373.2,0,0.0,1.0,0.0,0.0,0.0,0.0,41.0,0,0,1,778,721,1.0
0,2220.0,3,140.0,0,0.0,1.0,0.0,0.0,0.0,0.0,28.0,0,0,1,243,1190,0.5593967124216235
1,2340.0,16,143.5,0,0.0,1.0,0.0,0.0,0.0,0.0,22.0,0,0,1,1283,219,0.9000999000999002
1,1910.0,99,233.9,1,0.0,1.0,0.0,0.0,0.0,0.0,34.0,0,0,1,1589,191,0.819583401672954
1,3220.0,69,212.6,0,0.0,0.0,0.0,0.0,1.0,0.0,6.0,0,0,1,425,945,1.0
0,0.0,74,253.5,0,0.0,0.0,1.0,0.0,0.0,0.0,6.0,6,0,1,209,1076,1.0
0,1800.0,38,118.6,0,0.0,1.0,0.0,0.0,0.0,0.0,11.0,0,0,1,285,1434,0.9507954731835329
0,2790.0,64,566.7,1,0.0,1.0,0.0,0.0,1.0,0.0,194.0,0,0,1,627,156,0.5407577497129736
0,4040.0,58,370.7,0,1.0,0.0,0.0,0.0,0.0,0.0,21.0,0,0,1,337,1564,0.9507954731835329
0,0.0,262,188.6,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0,1,302,719,1.0
1,2050.0,44,143.6,0,1.0,1.0,0.0,0.0,0.0,0.0,92.0,0,0,1,187,616,0.8305371970852398
1,2580.0,279,53.2,0,0.0,1.0,0.0,0.0,0.0,0.0,6.0,0,0,1,288,1785,0.7929606625258799
1,4490.0,35,828.5,1,0.0,1.0,0.0,0.0,1.0,0.0,296.0,0,0,1,1849,35,0.7857142857142857
0,3890.0,42,185.5,0,0.0,1.0,0.0,0.0,0.0,0.0,67.0,0,0,1,334,93,0.9516285069332473
1,1660.0,1,290.6,1,0.0,1.0,0.0,0.0,0.0,0.0,95.0,0,0,1,374,1,0.6472663139329806
1,2510.0,10,52.0,0,0.0,1.0,0.0,0.0,1.0,0.0,2.0,0,0,0,30,10,0.9167013744273219
1,3020.0,244,615.8,0,0.0,0.0,0.0,0.0,1.0,0.0,41.0,0,0,1,649,1431,1.0
0,2120.0,63,187.6,0,0.0,0.0,0.0,0.0,1.0,0.0,8.0,0,0,1,161,520,1.0
0,3340.0,103,352.2,0,0.0,0.0,0.0,0.0,0.0,1.0,19.0,19,0,1,345,1609,0.9854184893554973
0,2520.0,45,314.7,0,0.0,1.0,0.0,0.0,0.0,0.0,52.0,0,0,1,448,1255,0.868787928489421
0,0.0,5,596.3,0,1.0,0.0,0.0,0.0,0.0,0.0,27.0,18,0,0,1513,5,0.5222929936305732
1,1290.0,62,907.2,0,0.0,0.0,0.0,1.0,0.0,0.0,64.0,67,0,1,576,1249,1.0
0,1970.0,76,60.0,0,0.0,1.0,0.0,0.0,0.0,0.0,7.0,0,0,1,115,556,1.0
0,1230.0,56,201.7,0,0.0,1.0,0.0,0.0,0.0,0.0,27.0,0,0,1,697,849,0.9000999000999002
0,1520.0,34,260.1,0,0.0,1.0,0.0,0.0,0.0,0.0,34.0,1,0,1,460,148,0.9343939642447106
0,1820.0,4,73.6,0,0.0,1.0,0.0,0.0,0.0,0.0,21.0,0,0,1,64,915,0.7668997668997669
1,0.0,107,492.85,0,1.0,0.0,0.0,0.0,0.0,0.0,17.0,17,0,1,415,1195,1.0
1,1670.0,92,37.6,0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0,0,1,93,1598,0.9654934437543133
0,0.0,78,186.2,0,1.0,0.0,0.0,0.0,0.0,0.0,7.0,5,0,1,170,96,1.0
0,5210.0,20,38.5,0,0.0,1.0,0.0,0.0,0.0,0.0,4.0,0,0,0,30,20,0.8667998667998669
0,1720.0,50,319.05,0,0.0,1.0,0.0,0.0,1.0,0.0,57.0,0,0,1,439,1476,0.9507954731835329
1,1620.0,39,85.6,0,1.0,0.0,0.0,0.0,0.0,0.0,22.0,0,0,1,98,1249,0.9179924553058881
0,1910.0,1,554.6,0,1.0,0.0,0.0,0.0,0.0,0.0,127.0,125,0,0,397,1,0.043245311902028294
0,3300.0,4,192.4,0,1.0,1.0,0.0,0.0,0.0,0.0,9.0,0,0,1,143,276,0.8274672187715666
0,2100.0,39,188.6,0,0.0,1.0,0.0,0.0,0.0,0.0,28.0,0,0,1,184,1226,0.9015909463670657
1,1360.0,33,89.9,0,0.0,1.0,0.0,0.0,0.0,0.0,8.0,0,0,1,124,147,0.9696693964209888
0,1500.0,35,80.5,0,0.0,1.0,0.0,0.0,0.0,0.0,11.0,0,0,1,185,238,0.9322148788340959
0,2190.0,292,73.7,0,0.0,1.0,0.0,0.0,0.0,0.0,29.0,0,0,1,350,1798,0.5514147688060731
